feature_set,evaluation,fold,n_features,n_samples,n_controls,n_impaired,auroc,auprc_average_precision,accuracy,balanced_accuracy,sensitivity_impaired_recall,specificity_controls_recall,precision_impaired,f1_impaired,tn,fp,fn,tp
mw_top_5,alzbiom_cv_validation,1,5,77,32,45,0.7527777777777778,0.8168605246939707,0.6493506493506493,0.5961805555555555,0.9111111111111111,0.28125,0.640625,0.7522935779816514,9,23,4,41
mw_top_5,alzbiom_cv_validation,2,5,76,32,44,0.7102272727272728,0.8058198826712496,0.6447368421052632,0.5909090909090908,0.9318181818181818,0.25,0.6307692307692307,0.7522935779816514,8,24,3,41
mw_top_5,alzbiom_cv_validation,3,5,76,32,44,0.6271306818181818,0.7258347344609071,0.5789473684210527,0.5681818181818181,0.6363636363636364,0.5,0.6363636363636364,0.6363636363636364,16,16,16,28
mw_top_5,alzbiom_cv_validation,4,5,76,32,44,0.78125,0.7830514133408073,0.7105263157894737,0.6732954545454546,0.9090909090909091,0.4375,0.6896551724137931,0.7843137254901961,14,18,4,40
mw_top_5,alzbiom_cv_validation,5,5,76,32,44,0.6583806818181819,0.7358977591398637,0.618421052631579,0.5894886363636364,0.7727272727272727,0.40625,0.6415094339622641,0.7010309278350515,13,19,10,34
mw_top_15,alzbiom_cv_validation,1,15,77,32,45,0.6388888888888888,0.7079550698499624,0.6233766233766234,0.5965277777777778,0.7555555555555555,0.4375,0.6538461538461539,0.7010309278350515,14,18,11,34
mw_top_15,alzbiom_cv_validation,2,15,76,32,44,0.6789772727272728,0.7562957219079048,0.5921052631578947,0.5454545454545454,0.8409090909090909,0.25,0.6065573770491803,0.7047619047619048,8,24,7,37
mw_top_15,alzbiom_cv_validation,3,15,76,32,44,0.5909090909090908,0.6796222148191724,0.5526315789473685,0.5454545454545454,0.5909090909090909,0.5,0.6190476190476191,0.6046511627906976,16,16,18,26
mw_top_15,alzbiom_cv_validation,4,15,76,32,44,0.7294034090909092,0.7422748247202329,0.6710526315789473,0.6434659090909092,0.8181818181818182,0.46875,0.6792452830188679,0.7422680412371134,15,17,8,36
mw_top_15,alzbiom_cv_validation,5,15,76,32,44,0.6704545454545455,0.7543871389890947,0.5921052631578947,0.5582386363636364,0.7727272727272727,0.34375,0.6181818181818182,0.6868686868686869,11,21,10,34
mw_top_20,alzbiom_cv_validation,1,20,77,32,45,0.6597222222222222,0.72391019284192,0.6493506493506493,0.61875,0.8,0.4375,0.6666666666666666,0.7272727272727273,14,18,9,36
mw_top_20,alzbiom_cv_validation,2,20,76,32,44,0.6661931818181818,0.7607570766413126,0.5657894736842105,0.5184659090909092,0.8181818181818182,0.21875,0.5901639344262295,0.6857142857142857,7,25,8,36
mw_top_20,alzbiom_cv_validation,3,20,76,32,44,0.6186079545454546,0.6906295644385646,0.5657894736842105,0.5568181818181819,0.6136363636363636,0.5,0.627906976744186,0.6206896551724138,16,16,17,27
mw_top_20,alzbiom_cv_validation,4,20,76,32,44,0.7549715909090908,0.7818668955126857,0.7236842105263158,0.6974431818181819,0.8636363636363636,0.53125,0.7169811320754716,0.7835051546391752,17,15,6,38
mw_top_20,alzbiom_cv_validation,5,20,76,32,44,0.6008522727272727,0.694506234378635,0.5789473684210527,0.546875,0.75,0.34375,0.6111111111111112,0.673469387755102,11,21,11,33
all_features,alzbiom_cv_validation,1,1359,77,32,45,0.6722222222222223,0.6937243867172462,0.6233766233766234,0.6145833333333333,0.6666666666666666,0.5625,0.6818181818181818,0.6741573033707865,18,14,15,30
all_features,alzbiom_cv_validation,2,1359,76,32,44,0.5184659090909091,0.5979396563333536,0.5263157894736842,0.5227272727272727,0.5454545454545454,0.5,0.6,0.5714285714285714,16,16,20,24
all_features,alzbiom_cv_validation,3,1359,76,32,44,0.6335227272727272,0.69387386189157,0.618421052631579,0.6150568181818181,0.6363636363636364,0.59375,0.6829268292682927,0.6588235294117647,19,13,16,28
all_features,alzbiom_cv_validation,4,1359,76,32,44,0.5862926136363636,0.6274164059745277,0.6052631578947368,0.5994318181818181,0.6363636363636364,0.5625,0.6666666666666666,0.6511627906976745,18,14,16,28
all_features,alzbiom_cv_validation,5,1359,76,32,44,0.5688920454545454,0.6510395076837732,0.5789473684210527,0.5767045454545454,0.5909090909090909,0.5625,0.65,0.6190476190476191,18,14,18,26
