mapping_type,alz_original_column,mapped_genus,mia_column,used_in_model,notes
exact_match,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia,Abiotrophia,Abiotrophia,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Absicoccus,Absicoccus,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Acetivibrio,Acetivibrio,Acetivibrio,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus,Acidaminococcus,Acidaminococcus,True,Exact genus match
exact_match,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Acidipropionibacterium,Acidipropionibacterium,Acidipropionibacterium,True,Exact genus match
alz_only_padded_in_miagb,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter,Acinetobacter,,True,Absent in MiaGB; MiaGB value padded with 0
exact_match,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,Actinobaculum,Actinobaculum,True,Exact genus match
exact_match,k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,Actinomyces,Actinomyces,True,Exact genus match
exact_match,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia,Adlercreutzia,Adlercreutzia,True,Exact genus match
exact_match,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae|g__Aeromonas,Aeromonas,Aeromonas,True,Exact genus match
exact_match,k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Agathobaculum,Agathobaculum,Agathobaculum,True,Exact genus match
