feature_set,evaluation,fold,n_features,folds,n_samples,n_controls,n_impaired,auroc,auprc_average_precision,accuracy,balanced_accuracy,sensitivity_impaired_recall,specificity_controls_recall,precision_impaired,f1_impaired,tn,fp,fn,tp
mw_top_5,alzbiom_5fold_cv_mean,mean,5,5.0,76.2,32.0,44.2,0.7059532828282828,0.7734928628613597,0.6403964456596036,0.6036111111111111,0.8322222222222223,0.375,0.6477844947017848,0.7252590891304374,12.0,20.0,7.4,36.8
mw_top_5,alzbiom_5fold_cv_std,std,5,5.0,0.4472135954999579,0.0,0.4472135954999579,0.06394636567200937,0.04093239919778996,0.0481563144397602,0.04039536261569814,0.1264435068012701,0.10597390598633231,0.02378940738862026,0.05796245028646985,3.391164991562634,3.391164991562634,5.5497747702046425,5.718391382198319
mw_top_15,alzbiom_5fold_cv_mean,mean,15,5.0,76.2,32.0,44.2,0.6617266414141414,0.7281069940572734,0.6062542720437457,0.5778282828282828,0.7556565656565656,0.4,0.6353756502287278,0.6879161446986908,12.8,19.2,10.8,33.4
mw_top_15,alzbiom_5fold_cv_std,std,15,5.0,0.4472135954999579,0.0,0.4472135954999579,0.051211800087370876,0.03332735996217444,0.044067517610570595,0.04224287242972382,0.09824783705492361,0.10222142021122578,0.030242476406466382,0.050852876531688476,3.271085446759225,3.271085446759225,4.324349662087931,4.33589667773576
mw_top_20,alzbiom_5fold_cv_mean,mean,20,5.0,76.2,32.0,44.2,0.6600694444444445,0.7303339927626237,0.6167122351332879,0.5876704545454545,0.7690909090909092,0.40625,0.642565964204733,0.6981302421107408,13.0,19.0,10.2,34.0
mw_top_20,alzbiom_5fold_cv_std,std,20,5.0,0.4472135954999579,0.0,0.4472135954999579,0.059728064377469046,0.040257108699334535,0.06913882777987852,0.07145171578438868,0.09596185536946654,0.1269381000724369,0.050171524517912146,0.06102769524321666,4.06201920231798,4.06201920231798,4.207136793592526,4.301162633521313
all_features,alzbiom_5fold_cv_mean,mean,1359,5.0,76.2,32.0,44.2,0.5958791035353534,0.6527987637200943,0.5904647983595352,0.5857007575757576,0.615151515151515,0.55625,0.6562823355506282,0.6349239627912833,17.8,14.2,17.0,27.2
all_features,alzbiom_5fold_cv_std,std,1359,5.0,0.4472135954999579,0.0,0.4472135954999579,0.059283891035955126,0.04188959010690061,0.03978529363105335,0.03850686668815805,0.04743174497726826,0.03423265984407289,0.034194341117363684,0.040797876306305596,1.0954451150103324,1.0954451150103324,2.0,2.2803508501982757
mw_top_5,alzbiom_final_training,all,5,,381.0,160.0,221.0,0.7474547511312217,0.803843676171526,0.6771653543307087,0.6432268099547511,0.8552036199095022,0.43125,0.675,0.7544910179640718,69.0,91.0,32.0,189.0
mw_top_5,miagb_external_test,all,5,,487.0,310.0,177.0,0.5254055039183525,0.4019909427660424,0.40451745379876797,0.5019591762347366,0.8587570621468926,0.14516129032258066,0.3645083932853717,0.5117845117845118,45.0,265.0,25.0,152.0
mw_top_15,alzbiom_final_training,all,15,,381.0,160.0,221.0,0.7649604072398191,0.8039668293285961,0.7060367454068242,0.6767392533936651,0.8597285067873304,0.49375,0.7011070110701108,0.7723577235772358,79.0,81.0,31.0,190.0
mw_top_15,miagb_external_test,all,15,,487.0,310.0,177.0,0.5326043375250592,0.3965450458455816,0.433264887063655,0.5293876435210497,0.8813559322033898,0.1774193548387097,0.3795620437956204,0.5306122448979592,55.0,255.0,21.0,156.0
mw_top_20,alzbiom_final_training,all,20,,381.0,160.0,221.0,0.7733597285067872,0.8262983463968885,0.7060367454068242,0.6819145927601811,0.832579185520362,0.53125,0.7104247104247104,0.7666666666666667,85.0,75.0,37.0,184.0
mw_top_20,miagb_external_test,all,20,,487.0,310.0,177.0,0.5172407508656826,0.36663859200792415,0.42915811088295686,0.5237379260069255,0.8700564971751412,0.1774193548387097,0.3765281173594132,0.5255972696245734,55.0,255.0,23.0,154.0
all_features,alzbiom_final_training,all,1359,,381.0,160.0,221.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,160.0,0.0,0.0,221.0
all_features,miagb_external_test,all,1359,,487.0,310.0,177.0,0.5163659558957536,0.3681654666765548,0.4353182751540041,0.507973391652998,0.7740112994350282,0.24193548387096775,0.3682795698924731,0.4990892531876138,75.0,235.0,40.0,137.0
